"id","name","type","size","path","maker_date"
17061,"4. Nghị Định",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/12-06-2026/1. Văn Bản Chung/4. Nghị Định,2026-06-18 21:18:01.218 +0700
17059,"6. Thông Tư",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/12-06-2026/1. Văn Bản Chung/6. Thông Tư,2026-06-18 21:18:01.204 +0700
17060,"91TT_2025_bieu mau",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/12-06-2026/1. Văn Bản Chung/6. Thông Tư/91TT_2025_bieu mau,2026-06-18 21:18:01.211 +0700
17062,Văn bản của Bộ ngành TW,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/12-06-2026/Văn bản của Bộ ngành TW,2026-06-18 21:18:01.225 +0700
17056,Văn bản của UBND - Sở ngành TP,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/12-06-2026/Văn bản của UBND - Sở ngành TP,2026-06-18 21:18:01.180 +0700
17158,"23-06-2026",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/23-06-2026,2026-06-29 13:31:04.128 +0700
17159,Văn bản của UBND Phường,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/23-06-2026/Văn bản của UBND Phường,2026-06-29 13:31:04.187 +0700
370,Chế độ,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ,2026-07-13 11:48:39.587 +0700
372,chế độ TSC bổ sung từ 15-6-2026,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026,2026-07-13 11:48:39.631 +0700
393,"4503--STC",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/4503--STC,2026-07-13 11:48:39.841 +0700
376,Đảng uỷ phường Xuân Hòa,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Đảng uỷ phường Xuân Hòa,2026-07-13 11:48:39.686 +0700
375,đấu giá tài sản,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/đấu giá tài sản,2026-07-13 11:48:39.674 +0700
377,đê án,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/đê án,2026-07-13 11:48:39.696 +0700
378,đề án,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/đê án/đề án,2026-07-13 11:48:39.705 +0700
379,"12114-stc",FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/đê án/đề án/12114-stc,2026-07-13 11:48:39.715 +0700
373,ĐỊNH GIÁ TÀI SẢN,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/ĐỊNH GIÁ TÀI SẢN,2026-07-13 11:48:39.647 +0700
374,CÔNG VĂN VỀ ĐGTS,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/ĐỊNH GIÁ TÀI SẢN/CÔNG VĂN VỀ ĐGTS,2026-07-13 11:48:39.661 +0700
391,Sở xây dựng,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Sở xây dựng,2026-07-13 11:48:39.824 +0700
390,Sở y tế,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/Sở y tế,2026-07-13 11:48:39.816 +0700
392,STC,FOLDER,-1,/Văn bản Phường Xuân Hoà/1. Phòng Kinh Tế - Hạ Tầng và Đô Thị/2. Tổ Tài chính - Ngân sách - Kinh tế/Chế độ/chế độ TSC bổ sung từ 15-6-2026/STC,2026-07-13 11:48:39.832 +0700
